사용자,평점,댓글 내용
송씨네,3.5,"나 잘난 맛에 사는 그 어디에서도 본적 없는 킬러가 온다!

필리핀의 복싱 경기장. 승패가 결정되고 내기 도박으로 수익을 얻는 이곳에 코피노 출신 마르코가 경기를 끝마쳤습니다. 자신에게 도박을 거는 사람만큼 마르코 자신도 유럽 프리미어 리그 승률게임을 하는데 남과는 반대로 하는 덕분에 수익은 없죠. 편찮으신 어머니를 간호하던 상황에서 큰 건이라면서 갔더니 제대로 함정에 빠졌죠. 의문의 여인 윤주 덕분에 구사일생으로 빠져나온 그는 한국의 아버지가 본인을 찾는다는 소식을 접합니다. 기내서 그에게 접근하는 한 사내. 마르코의 성질을 건드리는 그는 네 친구라고만 말합니다. 한편 거대 기업을 운영하는 기업의 승계자인 한 이사는 마르코를 데려와 아버지를 고치려 합니다. 이용가치가 떨어지면 쥐도 새도 모르게 처치하는 건 그의 특기. 얼떨결에 쫓기는 신세가 된 마르코와 그를 추적하는 사람들. 그 사이 한 명이 보입니다. 기내에서 만난 그 놈 입니다. 터미네이터처럼 지치지 않고 마르코를 쫓아오는데 이제는 두렵기까지 합니다.

한국으로 온 코피노 출신 복서가 위험에 휘말리는 영화. 이름 없는 킬러는 폼생폼사에 아군인지, 적군인지 모를 상황을 보여줍니다. 아무도 믿을 수 없고 조력자도 없습니다. 박훈정 감독이 묘한 액션 영화를 들고 왔는데 오락성도 나쁘지 않습니다. 신인 강태주 씨는 이국적인 마스크로 연기를 선보이며 김선호 씨는 자뻑 킬러라는 새로운 연기를 보여주는데 이 부분도 재미있지요. 이 영화는 액션이 강하지만 코믹 영화로 홍보하는게 이상하지 않는게 박훈정 감독의 말처럼 유머가 상당히 많습니다. 제주라는 공간 활용과 한국영화에서 드물게 마세라티, 벤츠, 제네시스 등의 고급세단이 작살나는 진풍경도 볼 수 있죠. 거기에 코피노들의 삶을 녹여낸 부분이 전혀 이질감이 없습니다. 이름 없는 킬러의 전사가 궁금할때 쯤이면 반전과 함께 이 영화의 메시지도 같이 드러납니다. 고아라 씨와 정라엘 씨(박 감독의 전작 ‘마녀2’의 토우 일원) 정도 외에 여성 캐릭터의 부재가 아쉽고 굳이 잔인할 필요없이 수위를 조절해도 나쁘지 않았을 영화였고요. ‘마녀’ 시리즈 만큼이나 귀공자 캐릭터도 잘 키우면 나쁘지 않을 것 같고요. (밝은(?) 영화였는데 ’슬픈 열대‘로 갔으면 큰일날 뻔했습니다.)"
롯데폐인,4,서툰 듯 매력적인 캐스팅
BeBe,3,킬링타임으로 나쁘지 않음
김민서,5,"답답한 부분이 없어서 또 보고싶은 영화다
시원한 영화
김선호를 좋아한다면 더할나위 없는"
Hun,3.5,"생각보다 캐릭터의 매력으로 인해 끝까지 잘 따라가게 되고 궁금증을 잡아주어 집중해서 보게된다.
하지만 어울리지 않는 캐릭터가 들어올땐 흐트러지고 궁금증이 해소되고선 영화의 집중이 떨어진다.
그래도 좋았던건 사회적으로 이슈되고 있는 코피노 문제를 언급했다는 것이다. 제발 다른 나라까지 가서 폐끼치고 돌아오지 않았으면 좋겠다.
마지막으로 김선호라는 배우가 이렇게까지 매력적으로 보일수 있다라는건 이 영화의 최대 장점이다. (악해보일때가 더 매력적)
아차! 마지막 액션 시퀀스는 꽤나 아쉽다. 너무나 흔들어대는 카메라 때문에 어떻게 타격이 들어가는지 제대로 볼수없다. 그것만 잘 담았어도 훨 좋은평이 나올것 같은데 말이지."
nago,3.5,마녀3가 귀공자로 나왔구나
왕은혜,2.5,"캐릭터가 서로 바뀐 것 같네
김강우 컨셉이 훨씬 와닿았다"
엘레나,2,김선호의 재기작..박감독님의 매너리즘..
박원준,3.5,엉뚱한 서사조차 밟아버리는 캐릭터적 우월성
시가렛,3,한 배우(김선호)의 매력이 몇몇 단점을 커버한다.
이단헌트,2,신세계는 어쩌다 얻어 걸린 표절영화에 불과했다
johnpaulmacqueen,0.5,끝내 이걸 보내…욕도 아깝다. 도대체 뭘 보고 투자하는건지 차라리 자선단체에 기부나해. 동태눈깔 투자자들..
이상범,4,"이제는 잘 알게 된 박훈정식 영화전개.
감독이 다른 작품들에서도 애용해오던 삼파전 관계에서 이리저리 이끌려다니는 주인공과 약간의 허세와 영화의 정체성이 그대로 담겨 드러나는 메인 캐릭터, 마녀1에서 박희순, 마녀2에서 진구와 같은 포지션의 김강우. (개인적으로는 셋 중 가장 좋았다.)

다 아는 맛이면서도 봤고, 기대한 맛 그대로 좋았다.
김선호의 수트핏과 미소때문에 별은 하나 더!!"
메키케키,3.5,박훈정 감독 만의 위트에 귀공자 캐릭터를 합쳐 새롭게 선보인 스타일 좋은 액션 영화로 특히 배우들이 돋보인다
별생각없음,3.5,"귀공자라는 제목은 이해 안된다. 하지만 영화가 별로는 아니다. 이렇게까지 욕 먹을 영화는 아니다. 신세계 영화가 뽀록이었다는 둥, 1점을 줄 만큼 영화가 허술하진 않다. 사람들과 소통을 잘 안 하는 사람인지 대사가 이상하다. 어투가 대사를 많이 안 써 본 느낌이다.
그것 빼고는 뭐 영화는 개연성도 있다. 시의성도 있다. 감독이 말하고 싶은 게 코피노의 현실을 말하고 싶었는지 액션 영화에 시의성을 가미한 건 좋은 연출이다.

개연성이 없다는 의견에는 동의하지 않는다. 이 영화는 관객에게 친절하게 왜 이런 상황이 됐는지 잘 알려준다.

영화는 안 어렵다. 그래서 볼만하다. 이 감독 영화들의 특징은 큰 의미 없는 영화만 만든다는 거다.

신세계 : 조폭코믹액션반전영화.
마녀 : 단순 액션반전영화
마녀2 : 산골 별장 액션 코믹 마녀 1편 복붙.

이렇듯이 이 감독은 원래 아무 의미 없는 영화만 연출하기에 이번 영화도 별 의미없는 영화다.

그래서 이 감독의 영화에 어떤 철학적 사유를 갈구할 필요가 없다. 그냥 오락영화만 만들 줄 아는 사람인데 뭘 더 큰 의미를 부여하는지 모르겠다.

반전도 예측 가능하지만 괜찮다. 원래 재밌는 영화, 볼 만한 영화는 원래 전형적 정형적 전개여야 재밌다. 참신할 수록 재미없다."
댄디큐티,4,나는 이런 박훈정식 중2병 영화가 좋다!
Jay Lee,4,집요하고 변태적인 케릭터의 엇나가는 유머가 묘하게 매력있다
재미우선주의,3.5,"박훈정 최고작.

원래 시나리오를 잘 쓰던 사람인데
본인이 직접 감독을 시작하면서 이상하리만치 우라까이와 클리쉐, 억지전개와 똥폼으로 점철된 영화만 만들더니
간만에 제대로 잘 빠진 영화를 만들었다.

하지만 마녀2의 처참한 만듬새 때문에 감독에게 실망한 관객들이 많아서인지 흥행이 영~

그동안의 박훈정 영화들은 거슬리는 부분들은 많지만 확실한 장점이 있어 그냥 참고 보는 그런 영화였는데 귀공자는 처음부터 끝까지 거슬리는 부분이 거의 없었다.

다만 에필로그의 어떤 장면 때문에
""도대체 저럴거면 왜 그렇게 죽일듯이 쫓아 다녔던거지?""
헷갈려할 관객들이 좀 있었을거 같다. 그 장면이 유일한 흠이다.
아마도 대중성을 위한 선택이었던 거 같은데 빼는게 대중성에 훨씬 도움이 되었을거 같다.

그외엔 팝콘 액션 영화로선 거의 흠 잡을게 없다. 적어도 존윅4 같은 영화보단 비교도 안되게 훨씬 훌륭하다"
귤귤,4,감독 특유의 재치와 김선호의 열연으로 완성된 맛.
누들,4.5,"박훈정 감독의 세계관, 만화 같은 캐릭터 설정, 액션신은 한국 감독 중 가장 취향이다. 미국 히어로물을 좋아하지 않으니 액션 히어로 장르에서 나한텐 그냥 최고일지도. 애초에 정통 느와르로 기대하지 않았고, 어딘가 돌아버린 먼치킨물로 이만큼의 카타르시스를 주는 영화가 마녀 뿐이었는데 귀공자가 그 다음이라니. 대사가 유치한건 어느 정도 감안, 유머코드가 의외로 딱 맞아서 너무 즐겁다 정말. 김선호 배우 영상 화보급이라고 듣고 가서 연기까지도 역시나였지만 김강우 배우가 또 너무 좋았네. 이런 배역으로 최고시다👍
평이 많이 박해서 놀랐는데 초반부 늘어진다고 해서 각오하고 갔는데도 딱히 지루한지 모르겠고 결말이 아쉽다는데 쿠키까지 더하면 웃고 즐겁게 나설 정도였다. 중반부에서 후반부로 몰아치는 속도감도 좋았음."
stayfocus,3.5,진짜 범죄도시보다 10배는 더 재밋음
초코봉봉,4.5,스포일러가 포함되어 내용을 생략했습니다.
꿍지,4.5,느와르 장르 분위기를 살리면서 적당한 웃음 포인트 + 깔끔한 결말 + 연기파 배우들
조수호,3.5,생각보다 나쁘지 않았던 영화 그럭저럭 괜찮았던 액션물
팁트로닉,0.5,나 연출하고 있어!! 나 연기하고 있어!! 모두가 악을 쓴다.
이혜원,0.5,스포일러가 포함되어 내용을 생략했습니다.
굿키드,1,"돈 없는거 너무 티난다.
예산에 비해 하고 싶은게 너무 많았죠?
그 정도 예산으로 찍고싶은 대로 못찍을거 뻔히 알면서 밀어붙인거야.
몰랐다고 하면 다작씩이나 했던 감독 자격 진짜 없는거고.
그러니까 주구장창 되지도 않는 긴장감 넣는다고 씨부리기만 하고.
어휴. 재미라도 있던가.
이것저것 감춘다고 캐릭터 너무 신경쓰다가 선 못맞춰서 촌스러워짐.
액션 노맛 드럽게 안보이네.
대사 개노맛 적당히 필요할때만 딱딱좀해.
어디서 본건 다따라하고 자빠졌네.
인터뷰에서 코피노얘기는 뭐하러 갖다 붙이냐..
그냥 소재로 한번 써먹어봤다고 솔직하게 얘기해..
솔직하지 못할거면 걍 말을 말지 뭔 사회문제 신경쓴 지식인인척 포장하냐 역겹게.
신인 주인공 복서 설정이면 솔직히 김선호랑 한번 파이트 정도는 할줄알았다 염병.
옆에 코골며 자는 아줌마는 별 문제도 안됨.
아니 그럴 수 있어 개 졸리거든.
그냥 대사 좀 다들 그만쳐.. 한숨나오니까.
느와르는 말 줄일수록 멋있다고..
달콤한 인생이나 다시봐야지."
엘산나,2.5,"스릴러인 척 하는 코미디
초중반 무게는 무게대로 잡다가 라이트해지는거 보소 ㅋ
싸울때 좀 카메라 적당히 흔드세요 실루엣밖에 안보여

이러시는 분에게 이 영화 추천

1. 나는 스릴러로 포장된 코미디를 좋아한다.
2. 김선호의 팬이라 다른 이미지로도 보고싶다.
3. 이끌려 같이 보러 가는 사람에게 미안하지 않다.
4. 할인된 영화 가격에 보러간다.
5. 나는 어떤 후까시에도 오글거림 없이 볼 수 있다.

영화 쿠키 있으니 끝나고 바로 나가지마세요"
우리는끝없이흐른다,2.5,"주먹 좀 쓴다는 마르코는 거의 병풍 수준이었고, 결국 귀공자의 원맨쇼였다. 제목부터가 귀공자라서 이상한 일도 아니지만, 반전이랍시고 마르코의 사연을 팔았다는 것이 괘씸하다."
배차장,2,"박훈정이 박훈정한 영화긴 한데
나도 남자지만 김선호 진짜 너무 잘생겼네..연기도 왜케 잘해"
청소년관람불가,2,매력이 없는 이야기와 캐릭터들의 난장판
박소형,3,"욕하면서 담배피며 가오잡고 조폭, 총, 폭력, 유혈 낭자한 와중에 또 겉 멋 든거 여김없이 표현해줘야 누아르라는 그 박훈정 영화다.
근데 힘을 좀 빼고 유머를 던져서 오? 싶다가도 멋있는 척은 좀 줄었나했는데 다리위에서 도로로 뛰어내리네...하..애증의 박훈정
근데 결말이 박훈정 스타일이 아닌데? 왜 따뜻해
김선호가 웃으면서 총 쏠때마다 vip 이종석이 떠오르더라. 이건 자기복제인가
그래도 마녀2, 낙원의 밤 보다는 올라왔다.
욕하면서도 박훈정이 흔하디 흔한 멋있는 척 하는 한국영화 계속 해줘서, 난 좋다."
SnoopCat,3.5,"관전 포인트를 신세계 박훈정 감독의 후속작에 대한 기대가 아닌 김선호 캐릭터에 맞추면 꽤 재미있는 영화였음.
그 동안 한국영화에선 듣도 보도 못 한 새로운 캐릭터의 등장. 코미디와 액션 두 마리 토끼를 다 잡은 성공적인 캐릭터의 탄생."
이하람,4,첨에  '도대체 무슨 스토리지?' 이 생각으로 보고 있다가 추격씬에서 김선호의 우스꽝스러운 모습을 보면서 빠져들다가 후반부 액션으로 카타르시스를 안겨준 희한하면서도 흥미로운 영화.
dinozzo,1,"박훈정의 상상력도, 자본과 제작도…이 정도면 심각한 문제"
한스기,2,"케릭터와 서사를 좀 더 보강했으면 좋았을 것 같다 빈약한 와중에 케릭터와 서사가 섞이지 못해 의문을 남기고 지루해지는 감이 있다 그럼에도 김선호의 연기는 눈에 띈다

내가 추천한 영화가 있었지만 친구의 강력한 추천으로 이 영화를 보게됬다 보고 나온 후 추천한 친구도 다른 친구들도 말없이 생기를 잃었다 (괜찮아 다 같이 봐서 재밌었어ㅎ)"
홍상수,N/A,또 훈정이네..
_9dong,2,"왜이렇게 뻘하게 웃기지ㅋㅋㅋㅋㅋㅋㅋ
김강우 캐릭터가 조금더 악랄하고 무게감있었더라면 느와르 액션과 B급 감성 코믹(?)의 밸런스가 맞았을텐데 하는 아쉬움이 있다."
타이거즈,2,결국은 친구가 도와줬다
Niknik,2.5,둘 따위 집어치우고 하나만 알고 연출하는 박훈정
Life is a journey,4.5,"달콤한 인생 스타일의 느와르
능청스런 연기에 잘어울린다"
플루,2.5,"느와르를 기대하지 말고, 코미디를 기대하는 게 더 좋을 지도."
박광재,3,"전체적으로 평이하며 일순 끝은 허탈하기도하다
장르영화 시리즈 저변확대와 주제선정이 장점이라면
지나치게 빈번한 자기복제와 클리셰가 많은 무난한 이야기가 단점."
랩퍼 M군,0.5,뭔가 있어보이고 어른인척하는 초등학생같은 영화
진끼리,3,"재밌기만하구만
수준이 그렇게들 높으신가
왜 다들 액션영화에서 어떤 무언가의 의미를
찾으려하는건지..
재밌으면 그걸로 된거아님?
김선호 연기 신선했고 전개 괜찮았고 지루하지않게 흘러간 러닝타임!
별점보고 개망작인줄..오해할뻔
역시 재밌어요 👍 박훈정감독님 영화 좋아해여 VIP빼긍"
홍사현,3,막상 관객 타겟을 놓쳐버린...
정명우,3,착한일 잘했다
닝닝,3.5,가볍게 즐기기 좋음. 유머코드 웃김. 김선호 얼굴 유잼. 개연성 집어치우고 보면 됨. 너무 많은 기대 금물. 김강우 연기 쫄깃하고 고아라는 좀 아쉽. 갑분 반올림
궁예,3.5,박훈정표 액션이 내 취향인듯
김동원,1.5,"채반마냥 숭숭 뚫린 서사 사이로 새어나오는 헛웃음
무게와 속도가 사라진 액션
드디어 박훈정이 사람들을 (여러 의미로) 웃기기 시작했다"
하루종일,3.5,범죄도시3편과 같은날 개봉햇다면 평가가 다르지않앗을까…
티후김이박모미지도원시야웅현빈,2.5,"박훈정의 레파토리에 김선호란 별미를 첨언한 코믹캐릭극.

👍🏻: 매력이라도 있었으니 다행이랄까.
👎🏻: 기대했던 마르코 활용의 아쉬움."
료지니🍭,2,아니ㅋㅋ이건 무슨 신박한 막장이지?
김안나,2.5,"감독의 전작들과 마찬가지로 고질적인 문제의 답습. 절대악에 대한 혐오감을 고조시키기 위해 지나친 정당성을 부여한다. 폭력과 욕설과 잔인함이 지나치게 길고 진부하게 반복될 뿐인 그저 흥미와 자극 위주의 쇼트들.

메시지는 없고 그저 눈속임만 가득하다. 이것만해도 견디기 힘든데 그놈의 똥폼잡는 먼치킨 캐릭터는 질리지도 않고 또 나온다.

거기다 초중반 일행이 외딴 숲속길을 운전하다 급습당해 죽임당하는 장면은 이전 연출작들과 너무도 똑같이 묘사된다. 배우들과 스태프들의 열정이 이런식으로 소모되는게 안타까울 지경이다. 브이아이피만큼의 최악은 아니지만 그에 견줄만큼 완성도가 처참하다."
lupang2003,2,"맙소사! 역시가 역시였다. 박훈정 감독은 지난 10년간 8편의 영화를 발표했다. 그중 절반은 흥행했고, 나머지는 실패했다. 흥행여부의 문제가 아니다. 더 중요한 문제는 어느 순간부터(최근작에 가까울수록) 그의 영화에는 창작자의 고민과 노력이 보이지 않는다는 것이다. 고민없이 양산하는 비슷비슷한 장르물은 수명이 길 수가 없다. 이제 흥행 결과보다 더 중요한 건 감독으로서의 가치를 증명하는 일이다."
이진훈,2.5,"스타일리쉬한 액션만 급하게 쌓아올리느라 마지막으로 몰려버린 서사..
그 간극은 결국 거리적 시간적 공허함으로 차버렸다"
이용희,1.5,"미끼상품 활용법.

<귀공자>에는 없는 것이 많다.

*설명이 없다.
영화 중반이 넘어가도록 핵심 인물과 그 행위에 대한 아무런 설명이 없다. 관람자는 의문을 넘어 짜증 속에 끌려갈 수밖에 없다. 감독님 이것이 호기심 자극이라고 생각한다면 큰 착오입니다.

*캐릭터에 중간이 없다.
모든 인물들이 중2병 말기다. 표정부터 대사, 말투, 행동, 심지어 액션까지 모든 것이 과장되고 촌스럽다. <마녀> 같은 일종의 판타지물에서야 어느 정도 허용이 가능하지만, 현실을 기반으로 한 영화에선 현실적인 캐릭터가 바탕이 되어야 하지 않겠습니까 감독님.

*갑자기 사람과 차가 없다.
인물 간 액션이 벌어지면 도로에서는 차가 사라지고, 동네에선 사람이 사라지는 마법이 일어난다. 물론 사건에 필요한 차나 사람은 절묘하게 나타나 사건을 일으킨다.

*대화가 없다.
킬러와 코피노, 그들 사이에 약간의 진실된 대화만 있었다면, 그 모든 피를 보지 않아도, 그 생고생 개고생을 하지 않아도 되었을 터. 그리고 그 대화의 기회는 차고 넘쳤다.

그냥 잘하던 거 잘해주세요 감독님."
차강운,1,"훈정아
넌 그냥 영화 그만 찍어라"
림군이,2.5,프로라기엔 아마추어같은 명분
문혁준,2.5,적어도 김선호의 캐릭터 하나만은 최고다.
조형준,4,김선호 얼굴만 보여
전뚱이,2.5,신세계
서동균,5,"박훈정 대표작이 ""신세계""에서 ""김선호""로"
강순복,4,"김선호만의 독특한 해결사 좋아요
스토리는 나름 개연성은 있지만
빌런이 좀 더 뭔가를 보여줬으면 좋았겟네요"
Juho01865,4,"박훈정 감독의 스토리 라인은 고루하지만 날이 갈수록 라인 속 변주는 재미있다 분명 소수의 관객들에게 장르적 만족감을 선사할 수 있을 거 같고 안타깝게 나는 그 소수에 속한다. 영화 속 분위기도 매끄럽되 가볍지 않고 특유의 먼치킨적 장르를 카타르시스를 느낄 수 있게 풀어냈다. 고의적으로 개연성을 내다 버리는 것이 느껴진만큼 재미만큼은 챙겼다. 특히 대사는 마녀때보다 훨씬 세련되게 변화한 것이 느껴진다 영화를 개연, 핍진을 중점으로 보는 사람들에게는 극구 말리고 싶지만 나로서는 OTT에 나온다면 한번 더 볼 의향이 있는 영화"
나프탈란자,3.5,"터미네이터인줄 알았는데 시티헌터였어.
8,90년대 호환 마마보다 무서운 무분별한 불량불법비디오,일본 폭력만화의 세례를 듬뿍 받은게 분명한,그래서 반가운 감독님.
마녀 연작이 최종병기 그녀나 총몽같은 sf 펑크 소녀물의 오마주 혹은 우라까이였다면 이번엔 크라잉 프리맨이나 지저스,시티헌터 같은 일본 액션만화의 오마주 내지 우라까이로 보면 일견 황당할수 있는 분위기가 어느 정도 이해된다.
이젠 유행 지났지만 15세 관람가를 위한 처절한 몸부림 같은 액션씬 카메라 흔들기는 좀 아쉬워도 어쨌든 김선호 캐릭터는 잘 뽑았다."
승자이,3,시나리오 작가 출신치고 어째 갈수록 빈약해지는 이야기는 아쉽지만 그만의 스타일리쉬한 액션의 맛은 중독성이 있다. 그걸 잘 살린 김선호의 독보적인 멋도 한 몫했고. 아무나 콜라병에 빨대 꽂아서 먹지마라  김선호꺼다!
88,4.5,결말 때문에 0.5뺌
우떼,4,"마녀 시리즈도 이 영화도 좋았다
특유의 액션과 분위기, 왕 쎈 캐릭터 (+피)
아주 무겁고 묵직하진 않았는데 또 나름 괜찮았다
해피엔딩(?)은 조금 당황스러웠지만 (혹시..2..)
김선호님 매력에,, 얼굴에,,, 풍덩,,,,,,🏊‍♀️🩵"
김하린,4,박훈정은 대체 몇명의 배우를 살려내는거냐
아무개,4,선호 반갑! 노담!
도롱3,3,"(안)죄송한데 김선호 분 진짜 미친 새키 같으세요…

떼잉~ 쯧! 하여튼 요오즘 영화들은 가오만 쏟아 부으면 다 되는 줄 안다니까. 정말이지 버르장머리가 없어요.

…라고 생각하면서 초반에 이미 ‘별점 한개 반 줘야지’ 마음 먹고 봤는데, 하. 자존심 상하지만 내가 이런 잡탕을 안 싫어함. 캐릭터 하나만 믿고 엉망진창으로 구는 게 몹시 괘씸한데 살짝 깜찍도 함. 퍼스트 러브 볼 때 같은 그런 앙큼함을 느낌. 마지막 10분은 깔끔하게 들어냈다면 좋았겠지만 또 ‘내가 만든 쿠키~ 너를 위해 구웠지🤭’ 하면서 애교 떠는데 참 나ㅋ 귀엽네…

+ 진심으로 낮은 별점도 높은 별점도 다 이해할 수 있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 특히 개쓰레기 영화라고 평하는 것 너무 이해함ㅋㅋㅋㅋㅋㅋㅋㅋ 아 정말 즐겁다ㅋㅋㅋㅋㅋ"
SUNG RYUN,1,스포일러가 포함되어 내용을 생략했습니다.
주변인,4,"넷플릭스가 사고 싶었을 영화, 팔지 않은 현명한 선택"
mr.park,3,"늘 비슷한 분위기지만
김선호의 존재감이 살렸다."
나봄,0.5,"웃다가 생각해보니 웃을때가 아님,,😒"
No name,2.5,"재밌는 소재에 올드한 연출 얹기였다.

누군가에게 MVP를 주어야만 한다면,
단연코 로케이션 디렉터
그리고 사심을 담는다면
고아라 캐스팅한 캐스팅 디렉터"
"Ending,",3,분열된 마녀의 능력치와 성격이 다시 상봉하는 과정.
kyc,3,"급하게 만들었나? 아쉽다.. 이게 최선인가?
갸우뚱거리며 중간 중간 한숨 쉬며 봄
그리고 여고딩 너무 어색함 <한숨포인트"
낡은호출기,2.5,귀를 닫고사는 공수표감독의 근거없는 자신감
idaein,2,"박훈정이 무난히 꾸준한 패턴으로 억제기 돌리는 와중에 자기 캐릭터를 확실히 각인시키는 김선호.
*쿠키영상 1개 있어요!
[CGV 시사회]"
수정,2.5,"도대체 이런 스토리로 영화를 만드는 사람은 무슨 생각인 건지 너무 궁금해서 한 시간 가량 아빠와 토론을 했는데, 결국 이게 재밌다고 생각하는 사람이라 그런 것이라는 답 밖에 안 나왔다. 오프닝 시퀀스도 그렇고, 러닝타임 내내 나 프로야~ 전문가야~ 하며 폐활량 쩌는무자비한 킬러의 모습을 보여주던 김선호가 주인공을 쫓는 근원적 이유는 무엇일지 영화내내 궁금하게 만들면서 결국에 보여주는 것이 이딴 것이라니
진심으로 이게 재밌는 건지 이렇게 해도 되는 건지 검열을 안 해본 거냐… 게다가 쿠키영상은 화룡점정!
도대체 고아라는 왜 나오는 건지
이 영화에서 그나마 주워먹을 건 강태주 배우의 마스크 (진짜 주인공 같은 얼굴과 아우라, 매력이 덜한 건 이딴 영어 대사들이랑 역할 준 박훈정 탓) + 김선호 말간 얼굴과 수트빨 기럭지 ^^ 그 뿐…"
jww,2.5,끝까지 깨지지 않은 톤앤 매너 만큼은
강민재,3,(다신 오지마 거지새끼들아) 야 너 부르자나 “네” 해야지
수용,5,난이거 재미있는데? 미쳣는데?
영업3팀,3,뭐야 왜 재밌어. 박훈정표 오락영화 은근 매력있음. 박훈정은 대단한 감독 되려는 욕심 버리고 이 정도 퀄로 다작해줬음 좋겠다.
Perle J,3,"23.08.27.밤에 집에서

영화에 대한 어떤 정보도 없이 보게 됐는데 그래서 그런지 그냥 코미디냐 모냐 하면서 봤음
중반까지는 사실 폰도 좀 하면서(집에서도 영화볼 때는 절대절대 안봄) 대충 따라갈만큼 지루한 면이 있었는데 김선호 캐릭터가 나름 매력적이라 점수 후하게 줍니당~ 아 그리고 해피엔딩이니까!"
Moony,0.5,내가 지금 뭘 본거지?! 쓰레기?!
Life is Movie,2,이제는 박훈정이라는 디렉터의 역량을 한없이 낮춰봐야 할 때.
라이너스,2.5,"하나의 타깃늘 정하고, 각기 다른 캐릭터들의 욕망을 심어 놓고서 끝까지 달려 나가는 이야기. 인물 모두가 제대로 뒤엉킨 채 난장판이 되길 응원했으나… 중반 이후로 점점 힘이 빠지더니, 클라이맥스는 심심하다.
-
걱정 반&기대 반- 김선호의 영화 연기는 선한 얼굴에서 나오는 서늘함과 궁시렁거리는 싼티로 무장해 흥미로웠음. 강태주의 눈빛도 다음 작품을 기대하게 만든다."
김현영,2,"1.진정한 노담 영화.
극장 상영전에 금연 캠페인 - 노담 사피엔스 군인편이 나왔는데 오히려 이 영화가 노담(금연) 캠페인 무비임. 엔딩의 쿠키? 영상을 보면 알게 됨.
(노담 사피엔스 군인 편 군인 모델 귀여움)

2. 혼잣말 영화.
김선호-프로는 왜 저렇게 혼잣말을 많이 하는거야.
김강우도 계속 혼잣말…
영화 대사가 혼잣말 대잔치임. 혼자서 다 설명하고, 혼자 감정, 행동을 다 말함 ㅋㅋ
=각본을 못썼다는 뜻."
yuzungs,2,이 돈으로 웹툰을 만들면 잘 될 것 같은데..
근웅,3,김선호의 재치가 이 영화의 가장 큰 매력.
심슨,2.5,진정한 프로다움에 대한 고찰..??
이팔청춘,2.5,"긴장감없는 추격씬, 어이없는 총격씬, 개념없는 격투씬...
누워있는 엄마 연기가 제일 자연스러운 아이러니함
[20230623 예매권]"
민드레,1.5,신세계는 사라지고 낙원의 밤이 반복된다.
갬이,1.5,"우리나라 길 잘 뚫려있네요
구닥다리 대사 때문에 힘들었지만 강태주 배우님 쏘 청순..."
sunset,0.5,"왜 관객이랑 놀려고 하는거지...
내가 거지새낀줄 아나"
イチ,2.5,쿨하고 멋있는줄 착각하지만 앞뒤 매락없는 이 작품에 느껴지는건 그저 겉멋뿐
elizz,0.5,"코미디 영화임. 내 별표는 저렇지만 걍 재미가 없진않음. 근데 이게 감독이 '아 이런 캐릭터 보고싶다' 하는 등장인물 몇명 캐릭터 이미지 잡아놓고 '아ㅋ 이런 장면 넣으면 존잼이겠지?ㅋ'하는 장면 몇개넣은 다음, '아..근데 이거 어떻게 잇지? 아 그냥 대충 이러자.'하고 만든 스토리임. 그래서 본인이 재밌을라고 만든 씬 몇개는 엄청 힘주고 그 사이에 '그래서 뭔데?;;' 하는 건 캐릭터들 설명충 대사씬이랑 회상씬 처리함. 근데 저 힘주고 만든곳도 너무 힘줘서 어떤 때는 늘어지고, 끊어줘야되는 그 짧은 찰나의 타이밍을 못잡아서 통쾌할 수 있는 포인트를 놓침. 그치만 김선호 여우같이 연기 잘하는거 보려면 충분히 즐길 수있음. 김선호 아님 이런 캐릭터 잘 살릴 배우 몇없을듯..영화 매니아라서 진짜 이런 영화 도저히 머리 비우고도 용납이 안된다 라는게 아니면 걍 진짜 인생 너무 고달프고 힘들다가 힘든 일들이 마무리되서 한가할때 뇌라는 걸 떼놓고 보기 좋음. 요새 인생이 고달파너 평타로 재밌게 봄. 그치만 이런 영화에 높은 별점을 주고 싶진 않다."
배우는배운다,1.5,"빈약하고, 불쾌하고, 어지럽다."
이정우,2,블랙코미디 인건지 블랙코미디가 된건지 헷갈린다.
오늘언니,2.5,허세가 뇌를 압도적으로 지배할때 나올 수 있는 모든 말과 행동들
0점사격,3,유희열 vs 박훈정
김트리,1,"마녀 같은 영화인 줄 알았는데..
이래저래 정말 조잡한 영화
하나도 특출난 점이 없다.

김강우 인생작 아닌가 싶다.
나머지 배우들은 연기를 정말
잘하지만 미스캐스팅 아닌가 싶다.

서론이 긴 거에 비해 결론은 너무
지루함... 에피타이저는 최상인데
메인요리가 똥이네

이 정도 배우로 이런 작품 만드는 것도
능력인가..? 왜 감독은 매번 같은 실수를
하는거야.. 모든 부분이 너무 뻔하다.

코피노의 심각성에 대해 하나 배운거

* 에누리 좀 해! 정찰제야!
* 그러다 체해! 걱정마 우리 소화 잘 시키니까"
양동철,3.5,기대하지 않고 전작품을 알지 않고 그냥 그냥 그렇게
파니핑크,0.5,진짜...cbal이다
비지정생존자,1.5,각본가 출신인데 대사의 질이 떨어지는 것은 큰 문제입니다.
최광호,2,똥폼 엄청 잡네
오미미,3.5,냠냠 음~ 테이스티
베로니니,0.5,"각본이 구린건지 연출이 문제인지...
이렇게 답답한 영화는 처음이야."
